NICKstateNAME                   2007/ind/igate224.tou 20070112
MWAR --- M Warusawitharana      57 1920 19971127
JCHE --- James Cherry           48 1919 20011216
TMAY --- Tuoyo Mayuku           24 1919 20060924
AHAH --- Albert Hahn           111 1917 20051119
NNAJ --- Nashad Najmu           36 1917 20031214
OBON --- Owen Bondin            24 1917 19991106
IDIX --- Ivy Dixon-Baird        16 1917 20030630
RHER --- Randy Hersom          117 1916 20051119
GCAR --- Gerry Carter          497 1913 20070112
RTAL --- Rod Talbot            136 1913 20041126
ASIM --- Allan Simmons          96 1913 20061201
PVUT --- Purinth Vuttich        38 1913 20010701
DLOW --- David Lowden           24 1912 20061106
ZKAU --- Zev Kaufman            78 1910 20051119
RHON --- Russell Honeybun       24 1908 20061106
DWEB --- David Webb            126 1907 20050116
KMCM --- Kevin McMahon          12 1903 20061201
AGOL --- Andrew Golding         37 1902 20050925
NBAL --- Nick Ballard           18 1901 19930830
OJAR --- Ong-Arj Jaruwan        18 1901 19930830
GJIA --- Goh Jiang Pern        296 1899 20061205
WINT --- Win Intara             27 1899 20040628
ZLEA --- Zelig Leader           18 1899 19951026
JHOL --- John Holgate          286 1898 20021118
PELB --- Peter Elbourne        105 1898 20011216
MHOR --- Michael Hornung        24 1897 20061106
THOV --- Trevor Hovelmeier     176 1896 20051119
CSYK --- Christopher Sykes      24 1896 20011216
SCHA --- Sitthisak Chaisook     28 1894 20000705
ACHO --- Aaron Chong           189 1893 20061205
WNED --- Will Nediger           39 1893 20061201
JADD --- Joshua Addo            39 1892 19971127
MWIL --- Mike Willis            18 1892 19951026
DFRA --- Darryl Francis         92 1890 20010701
EMET --- Eddie Metevier         32 1890 19991106
DEAR --- Dylan Early           104 1889 20051119
JLER --- Jerry Lerman           42 1889 20051119
MPHI --- Manop Phiphat         234 1888 20051218
JGRA --- John Grayson           87 1888 20061201
SO'N --- Shane O'Neill          24 1888 20061201
CSPA --- Clive Spate            57 1887 19971127
MSIR --- Marut Siriwangso      164 1885 20060702
PEPS --- Paul Epstein           47 1885 20000604
TRAB --- Tawano Rabong          69 1884 20000705
KHIR --- Keiichiro Hirai       122 1883 20051119
VAMA --- Victor Amartey         48 1882 20060924
AOLA --- Adigun Olatunde        72 1880 20102002
MPRA --- Mike Pray              52 1880 20000526
WSUT --- Waiyapot Suttawass     53 1879 20030629
SSAL --- Salah Salih           244 1878 20060609
EPER --- Esther Perrins        193 1878 20041126
MGON --- Michael Gongolo       224 1877 20050327
JFOS --- John Foster           119 1877 20061106
KHEA --- Ken Heaton             18 1876 19930830
SGRU --- Steven Gruzd          137 1875 20031023
JROS --- Joan Rosenthal        252 1874 20050116
MKEN --- Mark Kenas             65 1874 20051119
BTHO --- Blue Thorogood         60 1874 20021118
PLIT --- Patrick Litunya       259 1873 20060924
PCAR --- Patrick Carter        185 1872 20061106
MPRU --- Marlon Prudencio      103 1872 20061205
RBAL --- Rasheed Balogun        72 1872 20050116
JTAB --- John Tabasa            24 1872 20051119
AOGB --- Azu Ogbogu             77 1870 20000705
ATAN --- Alex Tan              281 1869 20050626
KKHO --- Karl Khoshnaw         182 1869 20060713
SKAN --- Sam Kantimathi        180 1868 20050703
MCHO --- Montien Choltichanan  107 1868 20050626
WIQB --- Wajid Iqbal           138 1867 20060702
SLOB --- Selwyn Lobo           331 1866 20060609
RCRE --- Ronald Credo          141 1866 20061205
CMEN --- Christian Mensah       24 1865 20060924
JDEL --- Jojo Delia             24 1865 20051119
PAVR --- Paul Avrin             18 1865 19951026
PSIN --- Peter Sinton          241 1864 20061106
RTAL --- Rogelio Talosig       139 1861 20061106
TSUT --- Taewan Sutthasin      345 1860 20061205
KCHO --- Kong Chock Heng       251 1860 20051218
HWEE --- Hubert Wee            197 1859 20061205
WWIL --- Walker Willingham      24 1859 20031023
CPLA --- Chrys Placca          186 1854 20060924
NKES --- Nuttakrit Keska       133 1854 20041219
EDAN --- Elie Dangoor          117 1854 20060115
UAND --- Umogbai Andrew         24 1854 20000423
RLOB --- Ralph Lobo            307 1853 20060609
AIKO --- Anthony Ikolo          24 1853 20051119
RHOE --- Ron Hoekstra           93 1852 20051119
AUL- --- Asad Ul-haq            81 1852 20051119
RDEL --- Renante dela Cerna     23 1852 19990627
LBEN --- Larry Benjamin         18 1852 19930830
KSRI --- Kittana Srimaha        12 1852 20000705
JNEU --- Jim Neuberger          18 1851 19930830
LPOW --- Lynne Powell           47 1850 19981123
WWAR --- Wilma Warwick          48 1847 20061201
BCHO --- Benjamin Chow          40 1847 20061201
OODU --- Olatunde Oduwole       24 1846 20051119
MTAN --- Michael Tang          468 1845 20061205
PFIN --- Pete Finley            66 1843 20051119
GTHE --- Geoff Thevenot         17 1843 20050703
KKHA --- Kweku Khan             24 1842 20000423
RJER --- Richard Jeremy         24 1841 20061106
NOGE --- Nerville Ogedegbe      24 1839 20000423
RGON --- Ricardo Gonzalez      323 1838 20060702
EMEN --- Edem Mensah            21 1838 19971127
PCHE --- Pui Cheng Wui         197 1836 20060625
GWRI --- Geoff Wright           79 1833 20001126
SROD --- Sherwin Rodrigues     196 1832 20070112
SKHA --- Suhaimi Khalil         20 1832 20061205
SSUN --- Steve Sunter           79 1831 20001126
ISID --- Irfan Siddiqui        113 1830 20070112
LLAB --- Leonora Labog          25 1830 20061205
NKWA --- Nana Kwame             24 1830 20000423
JFOL --- John Foley             47 1829 19981123
MCAM --- Michael Cameron        24 1829 20041126
TLEA --- Tony Leah              25 1828 20050925
DPOD --- David Poder            24 1827 20051119
CABO --- Chris Abordo          186 1826 20040604
PMPU --- Patrick Mpundu         42 1826 20041003
SPOL --- Sompong Polsongkram   133 1824 20061205
TMAR --- Theodoro Martus        24 1824 20051218
MSIG --- Mike Sigley           170 1823 20061106
FWAC --- Francis Wachira        90 1823 20050327
SHAR --- Simon Harinworrarob   222 1821 20050626
VHIN --- Varisht Hingorani     117 1821 20070112
TSIM --- Tony Sim              562 1820 20070112
RMAG --- Robins Magaki          90 1819 20050327
IZET --- Ivor Zetler            27 1819 20000528
AWEB --- Alec Webb              54 1817 20060713
ADRE --- Anne Drew              48 1817 20061106
AFAS --- Ayo Faseyiro           24 1817 20021020
RKHA --- Rashid Khan            93 1816 20051119
RATT --- Ras Attachey           24 1812 20000423
YKIA --- Yeo Kian Hung         276 1810 20060702
DASS --- Dixon Assesa          134 1810 20050327
MWHI --- Mike Whiteoak          14 1809 20060713
BHAR --- Barry Harridge         58 1807 20061129
FTHE --- Francis Theuri         48 1807 20050327
SHOL --- Stewart Holden         32 1807 20050226
CBEE --- Craig Beevers          12 1806 20061201
APLO --- Amnuay Ploysangngam   365 1805 20061205
MOTI --- Manase Otieno         163 1805 20050327
WAKI --- Wenwa Akinyi          121 1804 20060924
DDEL --- David Delicata         48 1804 20031023
AKAN --- Alistair Kane         183 1802 20061106
RBAK --- Rich Baker             24 1802 20031023
EBOR --- Emil Borboran          18 1802 19970526
LBIN --- Lois Binnie            14 1802 19991102
JGON --- Jodi Gonzalez          86 1801 20051218
DSHA --- Dylan Sharma          238 1800 20050116
ALAO --- Armando Lao            57 1799 19971127
ILAN --- Isaac Lango            24 1799 20011216
MCHU --- Mohan Chunkath        237 1798 20070112
LBUT --- Lynne Butler          135 1796 20061106
LONG --- Leroy Ong              20 1795 20051218
RFUA --- Raja Fuadin            95 1793 20021222
JNEV --- Johnny Nevarez         36 1793 19951026
LCHA --- Leslie Charles         56 1791 20051119
MEIC --- Maor Eichler           24 1791 20011216
GLAM --- Gwen Lampre             8 1789 19991102
LKIA --- Liew Kian Boon         99 1788 20061205
ECOH --- Evan Cohen             42 1788 20051119
UGRO --- Udayan Grover         102 1787 20070112
DLLO --- David Lloyd            72 1787 20031023
RJUD --- Rodney Judd            32 1787 19991106
LCAP --- Leo Capuno             94 1786 20060609
RNOR --- Rita Norr              36 1786 19951026
TTAN --- Teong-Chuan Tan        36 1786 19980920
MREE --- Martin Reed            24 1786 20050226
JJON --- Jj Jonah               21 1786 19971127
DBUA --- Daniel Buadu Akrong    24 1785 20041003
ACHO --- Apirat Choomai        160 1784 20060702
